Concept,UW-58 Colors,True Rating,Top50_Ball,Top50_Sector,Top50_Sector+Category,Photo50_Ball,Photo50_Sector,Photo50_Sector+Category,Cartoon50_Ball,Cartoon50_Sector,Cartoon50_Sector+Category,Lin et al
lime,39,0.185231481,0.298459206,0.385763688,0.337281871,0.345581557,0.396432806,0.356360322,0.229309449,0.340509391,0.284925623,0.002507842
lime,40,0.076805556,0.199158028,0.171791796,0.170409294,0.233267555,0.221313034,0.221188894,0.191737704,0.159488289,0.153649036,0.005846291
lime,41,0.128611111,0.210995916,0.184454171,0.17911019,0.269610368,0.257273922,0.246710228,0.194795795,0.166640027,0.158731352,0.004083233
lime,42,0.136435185,0.218831133,0.175149839,0.168737091,0.283810761,0.233405468,0.232378484,0.203757779,0.165784846,0.161374366,0.000309682
lime,43,0.114166667,0.172665054,0.187895707,0.169819533,0.197297882,0.205232054,0.187678972,0.178851451,0.171893529,0.160988174,0.001594076
lime,44,0.08337963,0.172095535,0.155396577,0.148072912,0.177288387,0.159923626,0.155569467,0.177676212,0.163139634,0.154904612,0.001805296
lime,45,0.72537037,0.42070862,0.466788314,0.560590357,0.335876415,0.38175595,0.426965829,0.393099953,0.390246248,0.50628353,0.121895119
lime,46,0.572175926,0.426706988,0.453299109,0.550720879,0.34322137,0.369497741,0.418653196,0.430284734,0.403645673,0.514778656,0.09888911
lime,47,0.825833333,0.311580215,0.400002503,0.519859713,0.239923377,0.294876966,0.371454551,0.360231325,0.385402609,0.502636254,0.127275726
lime,48,0.710138889,0.345987235,0.392034314,0.514790621,0.249444926,0.287774703,0.367335848,0.410773912,0.40853937,0.518884231,0.112743093
lime,49,0.210185185,0.379798651,0.442562433,0.385135052,0.363290631,0.423917931,0.379352338,0.288917227,0.337751402,0.290908113,0.005563684
lime,50,0.16912037,0.391004161,0.432714239,0.376065883,0.365595653,0.405351575,0.36485367,0.341824992,0.352379881,0.300345015,0.004093335
lime,51,0.13537037,0.197589648,0.235891564,0.212691629,0.246858787,0.292919803,0.274984243,0.183800036,0.183292375,0.174151749,0.004328142
lime,52,0.147731481,0.219292778,0.231353602,0.209834097,0.257441907,0.280629179,0.267214172,0.186808899,0.187147745,0.176868421,0.000619245
lime,53,0.107175926,0.173227488,0.17846188,0.171371322,0.198214845,0.207803475,0.21471404,0.178345153,0.181949353,0.173210275,0.000948314
lime,54,0.090092593,0.172241529,0.145771098,0.141341901,0.177565497,0.157308856,0.153756904,0.176952913,0.164045077,0.155591686,0.001809304
