Participant,Concept,Color,Rating
1,Avocado,24,0.1175
1,Avocado,25,0.2575
1,Avocado,26,0.3175
1,Avocado,27,0.2975
1,Avocado,28,0.13
1,Avocado,29,0.1925
1,Avocado,30,0.3
1,Avocado,31,0.2975
1,Avocado,32,0.13
1,Avocado,33,1
1,Avocado,34,0.9125
1,Avocado,35,0.605
1,Avocado,36,0.6525
1,Avocado,37,0.605
1,Avocado,38,0.5875
1,Avocado,39,0.385
1,Avocado,40,0.165
1,Avocado,41,0.1075
1,Avocado,42,0.2
1,Avocado,43,0.11
1,Avocado,44,0.1425
1,Avocado,45,0.9775
1,Avocado,46,0.655
1,Avocado,47,0.96
1,Avocado,48,0.8175
1,Avocado,49,0.5075
1,Avocado,50,0.22
1,Avocado,51,0.1275
1,Avocado,52,0.1425
1,Avocado,53,0.1925
1,Avocado,54,0.0825
1,Avocado,55,0.5125
1,Avocado,56,0.765
1,Avocado,57,0.3825
1,Avocado,58,0.2725
1,Orange,1,0.2825
1,Orange,2,0.185
1,Orange,3,0.16
1,Orange,4,0.4075
1,Orange,5,0.195
1,Orange,6,0.3025
1,Orange,7,0.2425
1,Orange,8,0.285
1,Orange,9,0.195
1,Orange,10,0.435
1,Orange,11,0.1075
1,Orange,12,0.1025
1,Orange,13,0.2075
1,Orange,14,0.1375
1,Orange,15,0.185
1,Orange,16,0.555
1,Orange,17,0.13
1,Orange,18,0.15
1,Orange,19,0.3125
1,Orange,20,0.2
1,Orange,21,0.21
1,Orange,22,0.4175
1,Orange,23,0
1,Orange,24,0.2575
1,Orange,25,0.1325
1,Orange,26,0.4875
1,Orange,27,0.49
1,Orange,28,0.5275
1,Orange,29,0.64
1,Orange,30,0.5625
1,Orange,31,0.59
1,Orange,32,0.5525
1,Orange,33,0.19
1,Orange,34,0.165
1,Orange,35,0.5875
1,Orange,36,0.2875
1,Orange,37,0.63
1,Orange,38,0.5275
1,Orange,39,0.57
1,Orange,40,0.745
1,Orange,41,0.8525
1,Orange,42,0.675
1,Orange,43,0.9025
1,Orange,44,0.6825
1,Orange,45,0.1825
1,Orange,46,0.49
1,Orange,47,0.1325
1,Orange,48,0.225
1,Orange,49,0.5975
1,Orange,50,0.825
1,Orange,51,1
1,Orange,52,0.715
1,Orange,53,0.8875
1,Orange,54,0.7575
1,Orange,55,0.1275
1,Orange,56,0.5375
1,Orange,57,0.62
1,Orange,58,0.8975
1,Lime,1,0.5
1,Lime,2,0.2275
1,Lime,3,0.42
1,Lime,4,0.4325
1,Lime,5,0.2
1,Lime,6,0.2
1,Lime,7,0.24
1,Lime,8,0.3125
1,Lime,9,0.2525
1,Lime,10,0.1725
1,Lime,11,0.105
1,Lime,12,0
1,Lime,13,0.335
1,Lime,14,0.1425
1,Lime,15,0.1125
1,Lime,16,0.2425
1,Lime,17,0.3225
1,Lime,18,0.0775
1,Lime,19,0.145
1,Lime,20,0.1425
1,Lime,21,0.615
1,Lime,22,0.695
1,Lime,23,0.0275
1,Lime,24,0.085
1,Lime,25,0.2125
1,Lime,26,0.4
1,Lime,27,0.655
1,Lime,28,0.1825
1,Lime,29,0.2925
1,Lime,30,0.44
1,Lime,31,0.195
1,Lime,32,0.2
1,Lime,33,0.8475
1,Lime,34,0.83
1,Lime,35,0.74
1,Lime,36,0.8625
1,Lime,37,0.625
1,Lime,38,0.445
1,Lime,39,0.1175
1,Lime,40,0.0325
1,Lime,41,0.47
1,Lime,42,0.42
1,Lime,43,0.2675
1,Lime,44,0.1875
1,Lime,45,0.7825
1,Lime,46,0.755
1,Lime,47,0.97
1,Lime,48,0.8925
